Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH2 Voltage,CH2 Current
1,1,1,-150.00000E+000,-2.70100E-009,10.00030E-003,17.89530E-006
1,1,2,-149.00000E+000,-1.14800E-009,9.99820E-003,17.81340E-006
1,1,3,-148.00000E+000,-453.00000E-012,10.00050E-003,17.71980E-006
1,1,4,-147.00000E+000,-273.00000E-012,10.00080E-003,17.63640E-006
1,1,5,-146.00000E+000,-88.00000E-012,10.00090E-003,17.55400E-006
1,1,6,-145.00000E+000,-63.00000E-012,10.00110E-003,17.47730E-006
1,1,7,-144.00000E+000,-139.00000E-012,9.99950E-003,17.39710E-006
1,1,8,-143.00000E+000,149.00000E-012,10.00000E-003,17.31190E-006
1,1,9,-142.00000E+000,214.00000E-012,9.99980E-003,17.23100E-006
1,1,10,-141.00000E+000,106.00000E-012,10.00040E-003,17.14930E-006
1,1,11,-140.00000E+000,384.00000E-012,9.99950E-003,17.07550E-006
1,1,12,-139.00000E+000,27.00000E-012,9.99880E-003,16.99860E-006
1,1,13,-138.00000E+000,434.00000E-012,9.99890E-003,16.91700E-006
1,1,14,-137.00000E+000,484.00000E-012,9.99910E-003,16.83690E-006
1,1,15,-136.00000E+000,648.00000E-012,10.00000E-003,16.75940E-006
1,1,16,-135.00000E+000,498.00000E-012,10.00040E-003,16.68580E-006
1,1,17,-134.00000E+000,749.00000E-012,10.00020E-003,16.60950E-006
1,1,18,-133.00000E+000,755.00000E-012,9.99970E-003,16.53040E-006
1,1,19,-132.00000E+000,782.00000E-012,9.99930E-003,16.44880E-006
1,1,20,-131.00000E+000,748.00000E-012,9.99950E-003,16.36770E-006
1,1,21,-130.00000E+000,862.00000E-012,10.00010E-003,16.28540E-006
1,1,22,-129.00000E+000,867.00000E-012,9.99980E-003,16.20790E-006
1,1,23,-128.00000E+000,846.00000E-012,9.99820E-003,16.13270E-006
1,1,24,-127.00000E+000,1.02600E-009,9.99970E-003,16.04830E-006
1,1,25,-126.00000E+000,1.57900E-009,9.99950E-003,15.96520E-006
1,1,26,-125.00000E+000,1.09500E-009,10.00110E-003,15.88940E-006
1,1,27,-124.00000E+000,1.13600E-009,9.99970E-003,15.81770E-006
1,1,28,-123.00000E+000,662.00000E-012,9.99980E-003,15.73080E-006
1,1,29,-122.00000E+000,1.14900E-009,9.99930E-003,15.65020E-006
1,1,30,-121.00000E+000,1.28900E-009,10.00000E-003,15.56450E-006
1,1,31,-120.00000E+000,1.18800E-009,10.00100E-003,15.47830E-006
1,1,32,-119.00000E+000,1.35700E-009,10.00000E-003,15.39690E-006
1,1,33,-118.00000E+000,1.37200E-009,10.00020E-003,15.31690E-006
1,1,34,-117.00000E+000,1.39900E-009,9.99950E-003,15.23060E-006
1,1,35,-116.00000E+000,1.40200E-009,9.99970E-003,15.14000E-006
1,1,36,-115.00000E+000,1.33900E-009,10.00030E-003,15.12690E-006
1,1,37,-114.00000E+000,1.12600E-009,9.99990E-003,15.02750E-006
1,1,38,-113.00000E+000,896.00000E-012,9.99970E-003,14.93130E-006
1,1,39,-112.00000E+000,1.39600E-009,10.00120E-003,14.83050E-006
1,1,40,-111.00000E+000,1.54900E-009,9.99930E-003,14.74520E-006
1,1,41,-110.00000E+000,1.59800E-009,10.00040E-003,14.65170E-006
1,1,42,-109.00000E+000,1.63500E-009,9.99950E-003,14.55910E-006
1,1,43,-108.00000E+000,1.52800E-009,9.99900E-003,14.45920E-006
1,1,44,-107.00000E+000,1.70400E-009,10.00030E-003,14.36730E-006
1,1,45,-106.00000E+000,1.75100E-009,9.99950E-003,14.27510E-006
1,1,46,-105.00000E+000,1.77900E-009,9.99870E-003,14.18130E-006
1,1,47,-104.00000E+000,1.89700E-009,9.99980E-003,14.08020E-006
1,1,48,-103.00000E+000,1.90300E-009,9.99920E-003,13.98780E-006
1,1,49,-102.00000E+000,1.84500E-009,10.00030E-003,13.88460E-006
1,1,50,-101.00000E+000,1.92300E-009,10.00000E-003,13.78850E-006
1,1,51,-100.00000E+000,1.86500E-009,10.00050E-003,13.69160E-006
1,1,52,-99.00000E+000,1.97300E-009,9.99970E-003,13.58540E-006
1,1,53,-98.00000E+000,1.64000E-009,9.99870E-003,13.48470E-006
1,1,54,-97.00000E+000,2.09200E-009,10.00100E-003,13.38120E-006
1,1,55,-96.00000E+000,2.10300E-009,9.99990E-003,13.28240E-006
1,1,56,-95.00000E+000,1.83100E-009,10.00060E-003,13.18010E-006
1,1,57,-94.00000E+000,2.05900E-009,9.99970E-003,13.07090E-006
1,1,58,-93.00000E+000,2.13700E-009,10.00010E-003,12.95760E-006
1,1,59,-92.00000E+000,2.14700E-009,10.00030E-003,12.85560E-006
1,1,60,-91.00000E+000,2.26400E-009,10.00030E-003,12.74940E-006
1,1,61,-90.00000E+000,2.33800E-009,9.99960E-003,12.63960E-006
1,1,62,-89.00000E+000,2.10300E-009,10.00060E-003,12.52050E-006
1,1,63,-88.00000E+000,2.25500E-009,9.99950E-003,12.40860E-006
1,1,64,-87.00000E+000,2.32500E-009,10.00000E-003,12.29930E-006
1,1,65,-86.00000E+000,2.33400E-009,9.99940E-003,12.18680E-006
1,1,66,-85.00000E+000,2.35100E-009,9.99870E-003,12.07050E-006
1,1,67,-84.00000E+000,2.41100E-009,10.00020E-003,11.94940E-006
1,1,68,-83.00000E+000,2.37900E-009,9.99950E-003,11.82560E-006
1,1,69,-82.00000E+000,2.41400E-009,9.99970E-003,11.79170E-006
1,1,70,-81.00000E+000,2.02100E-009,10.00000E-003,11.65750E-006
1,1,71,-80.00000E+000,1.77800E-009,10.00030E-003,11.52650E-006
1,1,72,-79.00000E+000,2.36900E-009,10.00120E-003,11.39390E-006
1,1,73,-78.00000E+000,2.45100E-009,9.99890E-003,11.26820E-006
1,1,74,-77.00000E+000,2.49800E-009,9.99900E-003,11.13490E-006
1,1,75,-76.00000E+000,2.48300E-009,9.99950E-003,11.00890E-006
1,1,76,-75.00000E+000,2.47900E-009,9.99880E-003,10.87120E-006
1,1,77,-74.00000E+000,2.54700E-009,9.99940E-003,10.73270E-006
1,1,78,-73.00000E+000,2.67400E-009,9.99810E-003,10.60180E-006
1,1,79,-72.00000E+000,2.60400E-009,10.00000E-003,10.46830E-006
1,1,80,-71.00000E+000,2.63100E-009,10.00010E-003,10.33660E-006
1,1,81,-70.00000E+000,2.69400E-009,9.99930E-003,10.20020E-006
1,1,82,-69.00000E+000,2.63200E-009,9.99840E-003,10.06300E-006
1,1,83,-68.00000E+000,2.22900E-009,9.99940E-003,9.92980E-006
1,1,84,-67.00000E+000,2.64500E-009,9.99950E-003,9.79710E-006
1,1,85,-66.00000E+000,2.58700E-009,10.00010E-003,9.66510E-006
1,1,86,-65.00000E+000,2.78400E-009,9.99900E-003,9.52720E-006
1,1,87,-64.00000E+000,2.84600E-009,9.99930E-003,9.39130E-006
1,1,88,-63.00000E+000,2.75400E-009,10.00000E-003,9.26010E-006
1,1,89,-62.00000E+000,2.72200E-009,9.99880E-003,9.13210E-006
1,1,90,-61.00000E+000,2.85700E-009,9.99910E-003,9.00490E-006
1,1,91,-60.00000E+000,2.88900E-009,9.99980E-003,8.88629E-006
1,1,92,-59.00000E+000,2.78800E-009,9.99990E-003,8.75839E-006
1,1,93,-58.00000E+000,2.88800E-009,9.99950E-003,8.63729E-006
1,1,94,-57.00000E+000,2.87000E-009,10.00010E-003,8.51779E-006
1,1,95,-56.00000E+000,2.90900E-009,9.99860E-003,8.40387E-006
1,1,96,-55.00000E+000,2.97900E-009,9.99970E-003,8.29559E-006
1,1,97,-54.00000E+000,2.92000E-009,9.99900E-003,8.18338E-006
1,1,98,-53.00000E+000,2.55800E-009,9.99970E-003,8.07866E-006
1,1,99,-52.00000E+000,3.22300E-009,9.99970E-003,7.98132E-006
1,1,100,-51.00000E+000,3.08500E-009,10.00160E-003,7.88797E-006
1,1,101,-50.00000E+000,3.06800E-009,9.99900E-003,7.79772E-006
1,1,102,-49.00000E+000,3.04300E-009,10.00040E-003,7.81074E-006
1,1,103,-48.00000E+000,2.68000E-009,9.99950E-003,7.71236E-006
1,1,104,-47.00000E+000,2.87700E-009,9.99910E-003,7.61963E-006
1,1,105,-46.00000E+000,2.93700E-009,10.00030E-003,7.53764E-006
1,1,106,-45.00000E+000,3.09100E-009,9.99990E-003,7.46411E-006
1,1,107,-44.00000E+000,3.12100E-009,9.99910E-003,7.39236E-006
1,1,108,-43.00000E+000,3.06300E-009,9.99930E-003,7.33035E-006
1,1,109,-42.00000E+000,3.13000E-009,9.99880E-003,7.26602E-006
1,1,110,-41.00000E+000,3.14800E-009,9.99930E-003,7.20735E-006
1,1,111,-40.00000E+000,3.08100E-009,10.00000E-003,7.15659E-006
1,1,112,-39.00000E+000,3.11400E-009,9.99980E-003,7.11136E-006
1,1,113,-38.00000E+000,2.74700E-009,10.00030E-003,7.06928E-006
1,1,114,-37.00000E+000,3.54600E-009,9.99950E-003,7.02798E-006
1,1,115,-36.00000E+000,3.29100E-009,9.99920E-003,6.99148E-006
1,1,116,-35.00000E+000,3.05800E-009,10.00040E-003,6.96030E-006
1,1,117,-34.00000E+000,3.24200E-009,10.00010E-003,6.93278E-006
1,1,118,-33.00000E+000,3.19400E-009,9.99930E-003,6.90879E-006
1,1,119,-32.00000E+000,3.31200E-009,9.99920E-003,6.88613E-006
1,1,120,-31.00000E+000,3.30100E-009,9.99950E-003,6.86565E-006
1,1,121,-30.00000E+000,3.32900E-009,10.00050E-003,6.84848E-006
1,1,122,-29.00000E+000,3.36100E-009,9.99960E-003,6.83778E-006
1,1,123,-28.00000E+000,3.36300E-009,9.99980E-003,6.82752E-006
1,1,124,-27.00000E+000,3.01400E-009,9.99960E-003,6.81698E-006
1,1,125,-26.00000E+000,3.37700E-009,9.99950E-003,6.81240E-006
1,1,126,-25.00000E+000,3.59200E-009,9.99970E-003,6.81152E-006
1,1,127,-24.00000E+000,3.02800E-009,9.99980E-003,6.81213E-006
1,1,128,-23.00000E+000,3.51700E-009,9.99880E-003,6.81124E-006
1,1,129,-22.00000E+000,3.42200E-009,10.00080E-003,6.81512E-006
1,1,130,-21.00000E+000,3.50500E-009,9.99920E-003,6.81720E-006
1,1,131,-20.00000E+000,3.51100E-009,10.00050E-003,6.82505E-006
1,1,132,-19.00000E+000,3.57300E-009,10.00020E-003,6.83415E-006
1,1,133,-18.00000E+000,3.09500E-009,9.99850E-003,6.84420E-006
1,1,134,-17.00000E+000,3.49600E-009,9.99980E-003,6.85266E-006
1,1,135,-16.00000E+000,3.57600E-009,9.99960E-003,6.86858E-006
1,1,136,-15.00000E+000,3.20300E-009,10.00070E-003,6.88395E-006
1,1,137,-14.00000E+000,3.11400E-009,10.00020E-003,6.89851E-006
1,1,138,-13.00000E+000,3.46500E-009,10.00000E-003,6.91369E-006
1,1,139,-12.00000E+000,3.46600E-009,10.00040E-003,6.93492E-006
1,1,140,-11.00000E+000,3.61700E-009,10.00060E-003,6.95407E-006
1,1,141,-10.00000E+000,3.61000E-009,10.00070E-003,6.97012E-006
1,1,142,-9.00000E+000,3.56500E-009,10.00060E-003,6.98737E-006
1,1,143,-8.00000E+000,3.62100E-009,10.00050E-003,7.00484E-006
1,1,144,-7.00000E+000,3.60000E-009,10.00040E-003,7.02235E-006
1,1,145,-6.00000E+000,3.58900E-009,9.99960E-003,7.04279E-006
1,1,146,-5.00000E+000,3.69600E-009,10.00040E-003,7.06573E-006
1,1,147,-4.00000E+000,3.77000E-009,9.99940E-003,7.08491E-006
1,1,148,-3.00000E+000,3.73900E-009,10.00090E-003,7.10556E-006
1,1,149,-2.00000E+000,3.71500E-009,9.99900E-003,7.12323E-006
1,1,150,-999.99900E-003,3.76200E-009,9.99980E-003,7.14782E-006
1,1,151,1.30000E-006,4.00700E-009,9.99970E-003,7.16950E-006
1,1,152,1.00000E+000,3.94500E-009,10.00040E-003,7.18976E-006
1,1,153,2.00000E+000,3.63500E-009,9.99940E-003,7.21087E-006
1,1,154,3.00000E+000,3.95900E-009,10.00030E-003,7.23185E-006
1,1,155,4.00000E+000,3.89800E-009,10.00070E-003,7.25396E-006
1,1,156,5.00000E+000,3.72000E-009,9.99990E-003,7.27737E-006
1,1,157,6.00000E+000,3.86100E-009,9.99940E-003,7.29477E-006
1,1,158,7.00000E+000,3.88600E-009,10.00010E-003,7.31756E-006
1,1,159,8.00000E+000,3.93000E-009,10.00160E-003,7.34292E-006
1,1,160,9.00000E+000,3.97500E-009,10.00060E-003,7.36612E-006
1,1,161,10.00000E+000,3.96700E-009,9.99970E-003,7.38661E-006
1,1,162,11.00000E+000,3.95100E-009,10.00000E-003,7.40719E-006
1,1,163,12.00000E+000,3.93300E-009,10.00160E-003,7.42797E-006
1,1,164,13.00000E+000,3.97100E-009,9.99990E-003,7.45142E-006
1,1,165,14.00000E+000,3.90700E-009,9.99900E-003,7.47632E-006
1,1,166,15.00000E+000,4.07700E-009,10.00020E-003,7.49545E-006
1,1,167,16.00000E+000,4.04300E-009,10.00000E-003,7.51735E-006
