Event,Time,Unnamed: 2,Name,Nationality,Date,Meet,Location,Ref
50m freestyle,20.91,ss,César Cielo,Brazil,18 December 2009,Brazilian Championships,"São Paulo, Brazil",[9][10][11][12]
100m freestyle,46.40,,Pan Zhanle,China,31 July 2024,Olympic Games,"Paris, France",[13]
200m freestyle,1:42.00,ss,Paul Biedermann,Germany,28 July 2009,World Championships,"Rome, Italy",[14][15][16]
400m freestyle,3:39.96,,Lukas Märtens,Germany,12 April 2025,Swim Open Stockholm,"Stockholm, Sweden",[17]
800m freestyle,7:32.12,ss,Zhang Lin,China,29 July 2009,World Championships,"Rome, Italy",[18][19]
1500m freestyle,14:30.67,,Bobby Finke,United States,4 August 2024,Olympic Games,"Paris, France",[20][21]
50m backstroke,23.55,sf,Kliment Kolesnikov,Russia,27 July 2023,Russian Cup,"Kazan, Russia",[22]
100m backstroke,51.60,,Thomas Ceccon,Italy,20 June 2022,World Championships,"Budapest, Hungary",[24][25]
200m backstroke,1:51.92,ss,Aaron Peirsol,United States,31 July 2009,World Championships,"Rome, Italy",[26][27][28]
50m breaststroke,25.95,sf,Adam Peaty,Great Britain,25 July 2017,World Championships,"Budapest, Hungary",[29][30]
100m breaststroke,56.88,sf,Adam Peaty,Great Britain,21 July 2019,World Championships,"Gwangju, South Korea",[31][32]
200m breaststroke,2:05.48,,Qin Haiyang,China,28 July 2023,World Championships,"Fukuoka, Japan",[33][34]
50m butterfly,22.27,,Andriy Govorov,Ukraine,1 July 2018,Sette Colli Trophy,"Rome, Italy",[35][36]
100m butterfly,49.45,,Caeleb Dressel,United States,31 July 2021,Olympic Games,"Tokyo, Japan",[37][38]
200m butterfly,1:50.34,,Kristóf Milák,Hungary,21 June 2022,World Championships,"Budapest, Hungary",[39][40]
200m individual medley,1:52.69,sf,Léon Marchand,France,30 July 2025,World Championships,"Singapore, Singapore",[41]
400m individual medley,4:02.50,,Léon Marchand,France,23 July 2023,World Championships,"Fukuoka, Japan",[42][43]
4 × 100 m freestyle relay,3:08.24,ss,Michael Phelps (47.51)Garrett Weber-Gale (47.02)Cullen Jones (47.65)Jason Lezak (46.06),United States,11 August 2008,Olympic Games,"Beijing, China",[44][45][46]
4 × 200 m freestyle relay,6:58.55,ss,Michael Phelps (1:44.49)Ricky Berens (1:44.13)David Walters (1:45.47)Ryan Lochte (1:44.46),United States,31 July 2009,World Championships,"Rome, Italy",[47][48]
4 × 100 m medley relay,3:26.78,,Ryan Murphy (52.31)Michael Andrew (58.49)Caeleb Dressel (49.03)Zach Apple (46.95),United States,1 August 2021,Olympic Games,"Tokyo, Japan",[49][50]
